fg_phenotype	name	category	category_index	fg_n_cases	fg_n_controls	ukbb_phenotype	ukbb_n_cases	ukbb_n_controls	ukbb_phecode_type	ukbb_phecode	ukbb_phecode_sex	mvp_phenotype	MVP_AFR_n_cases	MVP_EUR_n_cases	MVP_AMR_n_cases	MVP_AFR_n_controls	MVP_EUR_n_controls	MVP_AMR_n_controls	path_bucket	path_https
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	1	7671	444292	NA	NA	NA	NA	NA	NA	8.5	1274	5606	574	118853	447050	49872	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_BACT_INTEST_OTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_BACT_INTEST_OTH_meta_out.tsv.gz
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	1	5341	488977	AB1_CANDIDIASIS	10619	380368	custom	NA	NA	112	3459	8526	877	112544	432280	48431	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_CANDIDIASIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_CANDIDIASIS_meta_out.tsv.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	1	56056	444292	NA	NA	NA	NA	NA	NA	8	2444	9346	1008	113672	432586	47866	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_INTESTINAL_INFECTIONS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_INTESTINAL_INFECTIONS_meta_out.tsv.gz
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	1	742	488977	NA	NA	NA	NA	NA	NA	110.2	2089	2644	544	116369	449372	49645	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_OTHER_SUPERF_MYCOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_OTHER_SUPERF_MYCOSIS_meta_out.tsv.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	I Certain infectious and parasitic diseases (AB1_)	1	2231	498117	NA	NA	NA	NA	NA	NA	132	NA	1793	NA	NA	451957	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST_meta_out.tsv.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1	2776	497572	phecode-070-both_sexes	715	413496	phecode	070	both_sexes	70	14468	21558	3543	105244	431734	46810	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_HEPATITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_HEPATITIS_meta_out.tsv.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	1	11050	444292	icd10-A08-both_sexes	1107	419424	icd10	A08	both_sexes	8.6	NA	1349	NA	NA	449902	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_OTHER_INTEST_INFECTIONS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_VIRAL_OTHER_INTEST_INFECTIONS_meta_out.tsv.gz
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	1	7132	480316	AB1_ZOSTER	14173	384864	custom	NA	NA	53	2469	11696	1224	115794	428273	48184	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_ZOSTER_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/AB1_ZOSTER_meta_out.tsv.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	4852	378749	phecode-189.21-both_sexes	2590	415431	phecode	189.21	both_sexes	189.21	1053	10795	NA	120126	445108	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BLADDER_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BLADDER_EXALLC_meta_out.tsv.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	1894	378749	C3_BRAIN_EXALLC	851	323778	custom	NA	NA	191.11	NA	1216	NA	NA	456330	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRAIN_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRAIN_EXALLC_meta_out.tsv.gz
C3_BREAST_EXALLC	Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	24270	222078	phecode-174.11-females	11807	205913	phecode	174.11	females	174	1045	2667	NA	120282	454687	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BREAST_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BREAST_EXALLC_meta_out.tsv.gz
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	9639	378749	icd10-C34-both_sexes	3048	417483	icd10	C34	both_sexes	165.1	2649	13221	NA	118237	441492	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRONCHUS_LUNG_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_BRONCHUS_LUNG_EXALLC_meta_out.tsv.gz
C3_CLL_EXALLC	Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	935	378742	phecode-204.12-both_sexes	650	414840	phecode	204.12	both_sexes	204.12	NA	2882	NA	NA	455142	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_CLL_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_CLL_EXALLC_meta_out.tsv.gz
C3_COLON_EXALLC	Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	7698	378749	C3_COLON_EXALLC	6328	327168	custom	NA	NA	153.2	2075	9237	752	118521	445031	50039	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_COLON_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_COLON_EXALLC_meta_out.tsv.gz
C3_HEPATOCELLU_CARC_EXALLC	Hepatocellular carcinoma, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	947	378749	C3_HEPATOCELLU_CARC_EXALLC	269	323778	custom	NA	NA	155	1124	3403	600	120239	453793	50417	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_HEPATOCELLU_CARC_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_HEPATOCELLU_CARC_EXALLC_meta_out.tsv.gz
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	3926	378749	phecode-189.11-both_sexes	1307	415431	phecode	189.11	both_sexes	189.11	1741	5970	652	119561	450892	50414	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_KIDNEY_NOTRENALPELVIS_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_KIDNEY_NOTRENALPELVIS_EXALLC_meta_out.tsv.gz
C3_NONHODGKIN_EXALLC	Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	5225	378749	C3_NONHODGKIN_EXALLC	946	323778	custom	NA	NA	202.2	1035	5992	NA	120187	450348	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_NONHODGKIN_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_NONHODGKIN_EXALLC_meta_out.tsv.gz
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	1277	378749	icd10-C15-both_sexes	975	419556	icd10	C15	both_sexes	150	NA	2082	NA	NA	455397	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_OESOPHAGUS_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_OESOPHAGUS_EXALLC_meta_out.tsv.gz
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	28424	378749	phecode-172.2-both_sexes	14453	402691	phecode	172.2	both_sexes	172.2	697	68743	1313	120056	367168	49171	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_OTHER_SKIN_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_OTHER_SKIN_EXALLC_meta_out.tsv.gz
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	3139	378749	phecode-157-both_sexes	936	400294	phecode	157	both_sexes	157	NA	1904	NA	NA	455817	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_PANCREAS_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_PANCREAS_EXALLC_meta_out.tsv.gz
C3_RENAL_PELVIS_EXALLC	Malignant neoplasm of renal pelvis, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	391	378749	NA	NA	NA	NA	NA	NA	189.12	NA	1231	NA	NA	456185	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_RENAL_PELVIS_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_RENAL_PELVIS_EXALLC_meta_out.tsv.gz
C3_SKIN_EXALLC	Malignant neoplasm of skin, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	34177	378749	C3_SKIN_EXALLC	34645	278991	custom	NA	NA	172	921	84568	1591	119508	353507	48799	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_SKIN_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_SKIN_EXALLC_meta_out.tsv.gz
C3_STOMACH_EXALLC	Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	2296	378749	C3_STOMACH_EXALLC	710	323778	custom	NA	NA	151	NA	1172	NA	NA	456611	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_STOMACH_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_STOMACH_EXALLC_meta_out.tsv.gz
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland, excluding all cancers (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3	2859	378749	phecode-193-both_sexes	427	418625	phecode	193	both_sexes	193	NA	2404	NA	NA	455542	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_THYROID_GLAND_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C3_THYROID_GLAND_EXALLC_meta_out.tsv.gz
CARDIAC_ARRHYTM	Cardiac arrhythmias	Comorbidities of COPD	30	92926	288216	CARDIAC_ARRHYTM	41116	310519	custom	NA	NA	427	33194	149488	10741	71009	251336	34014	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CARDIAC_ARRHYTM_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CARDIAC_ARRHYTM_meta_out.tsv.gz
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland	II Neoplasms from hospital discharges (CD2_)	2	2570	497778	phecode-227.1-both_sexes	243	418625	phecode	227.1	both_sexes	227.1	1056	2632	NA	119982	453657	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_ADRENAL_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_ADRENAL_meta_out.tsv.gz
CD2_BENIGN_BONE_CARTILAGE	Benign neoplasm of bone and articular cartilage	II Neoplasms from hospital discharges (CD2_)	2	3326	497022	phecode-213-both_sexes	363	377237	phecode	213	both_sexes	213	NA	729	NA	NA	455552	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_BONE_CARTILAGE_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_BONE_CARTILAGE_meta_out.tsv.gz
CD2_BENIGN_BREAST	Benign neoplasm of breast	II Neoplasms from hospital discharges (CD2_)	2	4750	277314	phecode-610.4-females	1685	219947	phecode	610.4	females	610.4	NA	764	NA	NA	456257	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_BREAST_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_BREAST_meta_out.tsv.gz
CD2_BENIGN_COLORECANI	Benign neoplasm of colon, rectum, anus and anal canal	II Neoplasms from hospital discharges (CD2_)	2	29048	471300	icd10-D12-both_sexes	16552	403979	icd10	D12	both_sexes	208	31073	126540	10946	74935	275130	34707	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_COLORECANI_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_COLORECANI_meta_out.tsv.gz
CD2_BENIGN_ENDOCRINE_OTH	Benign neoplasm of other and unspecified endocrine glands	II Neoplasms from hospital discharges (CD2_)	2	4928	495420	phecode-227-both_sexes	1109	418625	phecode	227	both_sexes	227	2223	5275	579	118429	449847	50295	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_ENDOCRINE_OTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_ENDOCRINE_OTH_meta_out.tsv.gz
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa	II Neoplasms from hospital discharges (CD2_)	2	3735	496613	phecode-224-both_sexes	148	418389	phecode	224	both_sexes	224	1237	19973	1056	119212	427994	49352	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_EYE_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_EYE_meta_out.tsv.gz
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site	II Neoplasms from hospital discharges (CD2_)	2	3466	496882	phecode-228-both_sexes	1871	418660	phecode	228	both_sexes	228	676	10130	535	119784	427285	49403	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_meta_out.tsv.gz
CD2_BENIGN_LIPOMATOUS	Benign lipomatous neoplasm	II Neoplasms from hospital discharges (CD2_)	2	12917	487431	phecode-214-both_sexes	7458	411864	phecode	214	both_sexes	214	5743	14874	1832	111116	425601	47518	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_LIPOMATOUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_LIPOMATOUS_meta_out.tsv.gz
CD2_BENIGN_OTHERDIGESTIVE	Benign neoplasm of other and ill-defined parts of digestive system	II Neoplasms from hospital discharges (CD2_)	2	7013	493335	icd10-D13-both_sexes	1492	419039	icd10	D13	both_sexes	211	980	3733	NA	118583	445131	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_OTHERDIGESTIVE_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_OTHERDIGESTIVE_meta_out.tsv.gz
CD2_BENIGN_PITUITARY_CRANIPHAR	Benign neoplasm: Pituitary gland, craniopharyngeal duct	II Neoplasms from hospital discharges (CD2_)	2	1893	498455	phecode-227.3-both_sexes	396	418625	phecode	227.3	both_sexes	227.3	987	2007	NA	120596	456037	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_PITUITARY_CRANIPHAR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_PITUITARY_CRANIPHAR_meta_out.tsv.gz
CD2_BENIGN_THYROID	Benign neoplasm of thyroid gland	II Neoplasms from hospital discharges (CD2_)	2	1184	499164	phecode-226-both_sexes	320	418625	phecode	226	both_sexes	226	NA	774	NA	NA	456361	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_THYROID_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_THYROID_meta_out.tsv.gz
CD2_BENIGN_URINARY	Benign neoplasm of urinary organs	II Neoplasms from hospital discharges (CD2_)	2	1603	498745	phecode-223-both_sexes	226	377237	phecode	223	both_sexes	223	NA	1433	NA	NA	453965	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_URINARY_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_BENIGN_URINARY_meta_out.tsv.gz
CD2_HODGKIN_LYMPHOMA_EXALLC	Hodgkin lymphoma, hilmo (controls excluding all cancers)	II Neoplasms from hospital discharges (CD2_)	2	1033	378749	CD2_HODGKIN_LYMPHOMA_EXALLC	503	323778	custom	NA	NA	201	NA	993	NA	NA	456867	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_HODGKIN_LYMPHOMA_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_HODGKIN_LYMPHOMA_EXALLC_meta_out.tsv.gz
CD2_LYMPHOID_LEUKAEMIA_EXALLC	Lymphoid leukaemia (controls excluding all cancers)	II Neoplasms from hospital discharges (CD2_)	2	1945	378749	phecode-204.1-both_sexes	802	414840	phecode	204.1	both_sexes	204.1	NA	3219	NA	NA	454565	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_LYMPHOID_LEUKAEMIA_EXALLC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CD2_LYMPHOID_LEUKAEMIA_EXALLC_meta_out.tsv.gz
CHIRHEP_NAS	Cirrhosis of liver, NAS	Gastrointestinal endpoints	12	1703	494803	phecode-571.51-both_sexes	151	408402	phecode	571.51	both_sexes	571.51	5068	13575	2381	114971	440700	48183	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CHIRHEP_NAS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/CHIRHEP_NAS_meta_out.tsv.gz
C_DIFFICILE_ENTEROCOLITIS	Enterocolitis due to Clostridium difficile	I Certain infectious and parasitic diseases (AB1_)	1	4250	492689	C_DIFFICILE_ENTEROCOLITIS	1293	413495	custom	NA	NA	8.52	1005	4870	NA	119753	449577	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C_DIFFICILE_ENTEROCOLITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/C_DIFFICILE_ENTEROCOLITIS_meta_out.tsv.gz
D3_ACQHAEMOLYTICANAEMIA	Acquired haemolytic anaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	803	499230	phecode-283-both_sexes	191	396365	phecode	283	both_sexes	283	NA	699	NA	NA	456982	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ACQHAEMOLYTICANAEMIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ACQHAEMOLYTICANAEMIA_meta_out.tsv.gz
D3_ACUTEPOSTBLEEDANAEMIA	Acute posthaemorrhagic anaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	1295	479581	phecode-285.1-both_sexes	310	396365	phecode	285.1	both_sexes	285.1	1856	6225	512	116158	438681	49470	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ACUTEPOSTBLEEDANAEMIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ACUTEPOSTBLEEDANAEMIA_meta_out.tsv.gz
D3_AGRANULOCYTOSIS	Agranulocytosis	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	4238	491224	phecode-288.1-both_sexes	4096	410877	phecode	288.1	both_sexes	288.11	1974	4235	NA	118018	450519	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_AGRANULOCYTOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_AGRANULOCYTOSIS_meta_out.tsv.gz
D3_ANAEMIANAS	Other and unspecified anaemias	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	18961	479581	phecode-285-both_sexes	15398	396365	phecode	285	both_sexes	285	32992	85163	8114	76142	331519	39089	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIANAS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIANAS_meta_out.tsv.gz
D3_ANAEMIA_B12_DEF	Vitamin B12 deficiency anaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	4426	477015	phecode-281.12-both_sexes	1112	396365	phecode	281.12	both_sexes	281.12	2808	12248	1200	116873	436898	49106	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_B12_DEF_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_B12_DEF_meta_out.tsv.gz
D3_ANAEMIA_FOLATEDEF	Folate deficiency anaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	281	477015	phecode-281.13-both_sexes	259	396365	phecode	281.13	both_sexes	281.13	NA	913	NA	NA	456231	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_FOLATEDEF_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_FOLATEDEF_meta_out.tsv.gz
D3_ANAEMIA_IRONDEF	Iron deficiency anaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	19321	477015	D3_ANAEMIA_IRONDEF	22926	395199	custom	NA	NA	280	14726	35441	3887	99362	402084	45309	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_IRONDEF_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_IRONDEF_meta_out.tsv.gz
D3_ANAEMIA_IRONDEF_BLOODLOSS	Iron deficiency anaemia secondary to blood loss (chronic)	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	6667	477015	phecode-280.2-both_sexes	550	396365	phecode	280.2	both_sexes	280.2	2082	5073	606	116652	444979	49636	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_IRONDEF_BLOODLOSS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ANAEMIA_IRONDEF_BLOODLOSS_meta_out.tsv.gz
D3_COAGOTHER	Other coagulation defects	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	2769	492275	icd10-D68-both_sexes	1159	419372	icd10	D68	both_sexes	286.7	1080	5182	NA	119302	447867	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_COAGOTHER_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_COAGOTHER_meta_out.tsv.gz
D3_ITP	Idiopathic thrombocytopenic purpura	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	4	1064	492275	phecode-287.31-both_sexes	506	416975	phecode	287.31	both_sexes	287.31	NA	1448	NA	NA	455715	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ITP_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/D3_ITP_meta_out.tsv.gz
